#license: Apache-2.0
#mapping_set_id: https://w3id.org/lmodel/fix-protocol
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-05-27
#curie_map: 
# fix_protocol: https://w3id.org/lmodel/fix-protocol/
# linkml: https://w3id.org/linkml/
# biolink: https://w3id.org/biolink/vocab/
# schema: http://schema.org/
# PATO: http://purl.obolibrary.org/obo/PATO_
# example: http://www.example.org/rdf#
# dcterms: http://purl.org/dc/terms/
# skos: http://www.w3.org/2004/02/skos/core#
# xsd: http://www.w3.org/2001/XMLSchema#
# iso11404: https://www.iso.org/standard/39479.html#
# iso3166: https://www.iso.org/iso-3166-country-codes.html#
# iso4217: https://www.iso.org/iso-4217-currency-codes.html#
# iso10383: https://www.iso.org/standard/61067.html#
# iso639: https://www.iso.org/iso-639-language-codes.html#
# iso17442: https://www.iso.org/standard/78829.html#
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
fix_infrastructure:BusinessRejectReasonEnum#THROTTLED_MESSAGES_REJECTED_ON_REQUEST	THROTTLED_MESSAGES_REJECTED_ON_REQUEST	skos:exactMatch		fix_infrastructure:BusinessRejectReason_10		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-infrastructure						BusinessRejectReasonEnum			
fix_infrastructure:BusinessRejectReasonEnum#INVALID_PRICE_INCREMENT	INVALID_PRICE_INCREMENT	skos:exactMatch		fix_infrastructure:BusinessRejectReason_18		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-infrastructure						BusinessRejectReasonEnum			
fix_base:FIXDatatypeName#Country	Country	skos:exactMatch		iso3166:		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-base						FIXDatatypeName			
fix_base:FIXDatatypeName#Currency	Currency	skos:exactMatch		iso4217:		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-base						FIXDatatypeName			
fix_base:FIXDatatypeName#Exchange	Exchange	skos:exactMatch		iso10383:		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-base						FIXDatatypeName			
fix_base:FIXDatatypeName#Language	Language	skos:exactMatch		iso639:		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-base						FIXDatatypeName			
fix_post_trade:MatchStatusEnum#COMPARED_MATCHED_OR_AFFIRMED	COMPARED_MATCHED_OR_AFFIRMED	skos:exactMatch		fix_post_trade:MatchStatus_0		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						MatchStatusEnum			
fix_post_trade:MatchStatusEnum#UNCOMPARED_UNMATCHED_OR_UNAFFIRMED	UNCOMPARED_UNMATCHED_OR_UNAFFIRMED	skos:exactMatch		fix_post_trade:MatchStatus_1		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						MatchStatusEnum			
fix_infrastructure:NetworkRequestTypeEnum#SNAPSHOT	SNAPSHOT	skos:exactMatch		fix_infrastructure:NetworkRequestType_1		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-infrastructure						NetworkRequestTypeEnum			
fix_infrastructure:NetworkRequestTypeEnum#STOP_SUBSCRIBING	STOP_SUBSCRIBING	skos:exactMatch		fix_infrastructure:NetworkRequestType_4		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-infrastructure						NetworkRequestTypeEnum			
fix_post_trade:PositionMaintenanceActionEnum#NEW	NEW	skos:exactMatch		fix_post_trade:PosMaintAction_1		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						PositionMaintenanceActionEnum			
fix_post_trade:PositionMaintenanceActionEnum#REPLACE	REPLACE	skos:exactMatch		fix_post_trade:PosMaintAction_2		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						PositionMaintenanceActionEnum			
fix_post_trade:PositionMaintenanceActionEnum#CANCEL	CANCEL	skos:exactMatch		fix_post_trade:PosMaintAction_3		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						PositionMaintenanceActionEnum			
